Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry__rsi(C,14)","Exit__rsi(C,14)","Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)"
-2,59,62,42025.71,42044.4,42205.72857142857,41665.672857142854,-373.66044000000466,336.28044,-0.004445617218602733,2024-01-01 14:45:00,2024-01-01 15:30:00,0 days 00:45:00,,42027.1645,42028.73,71.49925778078703,62.89395440157885,180.01857142857156,189.17357142857196
2,63,71,42058.19,42042.83,41855.97,42462.630000000005,-367.1240800000012,336.40408,-0.004364477881715811,2024-01-01 15:45:00,2024-01-01 17:45:00,0 days 02:00:00,,42029.64216666667,42034.735666666675,72.48885840748466,34.57127667286372,202.22000000000062,206.81785714285743
2,72,73,42041.36,42037.35,41837.33357142857,42449.41285714286,-344.3348400000041,336.31484,-0.0040951914971353,2024-01-01 18:00:00,2024-01-01 18:15:00,0 days 00:15:00,,42035.68100000001,42036.79933333334,39.40684410226943,46.63167103636115,204.02642857142874,201.65142857142874
-2,77,80,42017.56,42044.32,42192.915714285715,41666.84857142857,-389.7675200000041,336.24752,-0.004638150335240938,2024-01-01 19:15:00,2024-01-01 20:00:00,0 days 00:45:00,,42041.82750000001,42046.9125,36.89831295065323,42.992024928024534,175.355714285714,171.01571428571432
-2,88,91,42045.73,42050.45,42233.18285714286,41670.82428571429,-345.8247199999878,336.38472,-0.004112483241461019,2024-01-01 22:00:00,2024-01-01 22:45:00,0 days 00:45:00,,42058.84099999999,42063.55499999999,60.9415720819389,62.455669501825035,187.45285714285686,197.28285714285704
-2,96,102,42069.32,42082.94,42277.514285714286,41652.93142857143,-363.84904000000523,336.60904,-0.004324398873098054,2024-01-02 00:00:00,2024-01-02 01:30:00,0 days 01:30:00,,42070.21233333332,42078.889999999985,67.62337784458875,65.29353052432502,208.19428571428577,221.58642857142803
2,104,109,42077.17,42091.16,41876.75785714285,42477.99428571428,-308.6933199999895,336.67332,-0.003668180630969028,2024-01-02 02:00:00,2024-01-02 03:15:00,0 days 01:15:00,,42082.26766666665,42089.52433333332,62.5371965475681,59.4889882929037,200.41214285714267,189.45214285714297
2,112,113,42105.66,42091.29,41920.81642857143,42475.34714285714,-365.5278000000053,336.78780000000006,-0.004340601714828847,2024-01-02 04:00:00,2024-01-02 04:15:00,0 days 00:15:00,,42092.87716666666,42093.98549999999,65.521086770914,64.55814921942647,184.84357142857124,193.57499999999968
2,117,118,42107.9,42107.79,41901.91285714286,42519.874285714286,-337.08276000000114,336.86276,-0.0040026071117296134,2024-01-02 05:15:00,2024-01-02 05:30:00,0 days 00:15:00,,42098.801999999996,42099.99466666666,73.49762212092352,69.20113882149079,205.9871428571423,195.9099999999993
2,121,124,42125.19,42124.27,41911.30857142858,42552.95285714286,-338.83784000001106,336.99784,-0.004021795984777859,2024-01-02 06:15:00,2024-01-02 07:00:00,0 days 00:45:00,,41401.54583333334,39298.3675,91.40475774822004,88.41603051072941,213.8814285714278,222.89642857142823
2,134,135,42126.53,42121.92,41927.18357142857,42525.22285714286,-346.21380000000113,336.99379999999996,-0.0041092133626956856,2024-01-02 09:30:00,2024-01-02 09:45:00,0 days 00:15:00,,32286.86016666667,31585.574000000004,37.557704984328105,30.96366508161745,199.34642857142947,196.91857142857194
2,138,139,42098.97,42099.33,41908.010714285716,42480.88857142857,-336.07319999999885,336.7932,-0.003991465824460787,2024-01-02 10:30:00,2024-01-02 10:45:00,0 days 00:15:00,,29480.53383333334,28778.799500000005,22.619917210656723,20.02017710704682,190.95928571428672,195.61785714285824
2,140,146,42104.7,41898.32071428571,41898.32071428571,42517.45857142857,-748.7706542857098,336.0120828571429,-0.0088917704470725,2024-01-02 11:00:00,2024-01-02 12:30:00,0 days 01:30:00,,28077.28016666667,23867.307333333334,22.884882104143784,56.56338026681621,206.37928571428657,177.19785714285794
2,146,147,42094.21,41917.012142857144,41917.012142857144,42448.60571428572,-690.4406028571393,336.0448885714286,-0.008201135059395816,2024-01-02 12:30:00,2024-01-02 12:45:00,0 days 00:15:00,,23867.307333333334,23165.5335,56.56338026681621,56.267725453055,177.19785714285794,170.33857142857232
